id1,id2,tstart,tend
699,695,2033000,3443000
696,695,4713000,5856000
699,695,6871000,8214000
702,700,918000,1668000
702,700,6093000,6817000
707,705,947000,1813000
716,715,1676000,2899000
717,715,4613000,5725000
722,720,3682000,4841000
725,726,0,1042000
726,725,1635000,2567000
728,725,2781000,4282000
726,725,6089000,6847000
731,730,5595000,7394000
740,741,0,676000
742,740,1368000,2995000
743,740,6453000,7370000
745,746,0,620000
749,745,3390000,4160000
747,745,4797000,6443000
753,750,1635000,2306000
755,756,3211000,4916000
761,760,1039000,2358000
770,771,6249000,7366000
775,776,0,1424000
776,775,2327000,3428000
784,780,3437000,4072000
785,786,0,1166000
790,791,0,1072000
794,790,2236000,3043000
790,791,5607000,6334000
799,795,0,1568000
796,795,1926000,2803000
796,795,4291000,5458000
802,800,0,967000
804,800,3595000,4277000
801,800,5333000,5970000
801,800,6905000,7822000
807,805,0,627000
812,810,3556000,4577000
815,816,2104000,3167000
824,820,4062000,5006000
826,825,1988000,2888000
826,825,4048000,5065000
833,830,5257000,6446000
835,836,1900000,3097000
836,835,6377000,7853000
844,840,6592000,7469000
846,845,877000,2034000
847,845,3465000,4987000
845,846,5687000,6516000
850,851,2856000,3733000
856,855,2749000,3964000
857,855,4998000,6038000
858,855,6880000,7986000
861,860,2363000,3180000
860,861,3563000,5096000
860,861,6066000,6807000
860,861,7152000,7882000
868,865,741000,1435000
869,865,3166000,4309000
869,865,5393000,6102000
865,866,6740000,7590000
874,870,4503000,5621000
877,875,4789000,5835000
883,880,795000,2502000
880,881,5292000,5973000
882,880,6819000,7708000
889,885,5968000,7644000
899,895,1737000,2606000
909,905,2578000,3382000
908,905,4538000,5388000
907,905,6811000,7417000
912,910,5824000,6844000
916,915,0,780000
915,916,1070000,1897000
921,920,0,984000
923,920,2657000,3742000
929,925,0,738000
926,925,4628000,5789000
930,931,1520000,2750000
932,930,3006000,4201000
932,930,5226000,6083000
943,940,955000,2089000
941,940,3916000,4768000
945,946,1598000,2309000
948,945,5262000,6400000
950,951,1363000,2635000
950,951,6121000,7258000
958,955,2040000,2962000
956,955,3525000,4638000
957,955,6169000,7443000
962,960,0,1185000
969,965,6078000,7264000
971,970,0,1215000
972,970,3076000,3757000
972,970,5153000,6603000
975,976,2998000,3913000
983,980,0,1624000
981,980,2695000,4021000
991,990,0,785000
991,990,1298000,2749000
995,996,0,1057000
997,995,1761000,2602000
996,995,3731000,4495000
995,996,4928000,5972000
1001,1000,811000,2358000
1008,1005,830000,1977000
1009,1005,4327000,5272000
1011,1010,0,607000
1013,1010,5410000,6235000
1015,1016,825000,1477000
1019,1015,4211000,4948000
1022,1020,1641000,2295000
1022,1020,4939000,5645000
1025,1026,770000,1416000
1026,1025,2586000,3353000
1030,1031,765000,1749000
1037,1035,0,636000
1038,1035,1430000,2592000
1039,1035,5971000,6849000
1041,1040,0,744000
1044,1040,3852000,4842000
1046,1045,719000,2386000
1049,1045,2396000,3178000
1048,1045,5014000,6040000
1045,1046,6625000,7467000
1052,1050,1127000,1953000
1063,1060,0,1058000
1062,1060,4123000,4845000
1074,1070,0,1598000
1071,1070,4983000,5970000
1076,1075,1442000,2429000
1082,1080,6275000,7037000
1087,1085,2393000,3206000
1088,1085,4986000,6110000
1086,1085,6888000,8037000
1094,1090,6360000,7088000
1095,1096,4238000,4937000
1097,1095,5799000,6825000
1104,1100,1625000,2757000
1104,1100,3868000,4583000
1101,1100,4625000,5622000
1100,1101,6940000,7794000
1109,1105,6851000,7861000
1113,1110,5375000,6509000
1117,1115,1224000,2296000
1119,1115,2557000,3212000
1117,1115,5709000,6905000
1124,1120,858000,2281000
1128,1125,1164000,2001000
1125,1126,2976000,3650000
1134,1130,6414000,7550000
1136,1135,647000,1362000
1135,1136,4151000,5384000
1137,1135,5434000,6202000
1144,1140,5781000,6600000
1145,1146,3173000,4175000
1152,1150,6562000,8051000
1158,1155,634000,1292000
1158,1155,2606000,3248000
1159,1155,4568000,5529000
1158,1155,7053000,7715000
1163,1160,5177000,6722000
1166,1165,6250000,6922000
1170,1171,766000,1918000
1173,1170,3365000,4286000
1171,1170,5652000,6557000
1179,1175,2555000,3718000
1183,1180,0,1025000
1181,1180,2326000,3379000
1184,1180,3652000,4784000
1185,1186,4453000,5315000
1189,1185,5860000,6827000
1191,1190,759000,1594000
1193,1190,3828000,5045000
1190,1191,7039000,7907000
1204,1200,0,1117000
1201,1200,2129000,3028000
1201,1200,3124000,4446000
1208,1205,3425000,4171000
1206,1205,7163000,8029000
1211,1210,3343000,4411000
1212,1210,5792000,6848000
1219,1215,954000,1959000
1220,1221,4603000,5877000
1226,1225,2313000,3220000
1227,1225,3484000,4621000
1228,1225,6530000,7613000
1234,1230,0,841000
1242,1240,629000,2267000
1242,1240,4797000,5713000
1247,1245,5078000,6855000
1254,1250,0,831000
1251,1250,1661000,2991000
1251,1250,3593000,4742000
1259,1255,0,927000
1258,1255,3848000,4615000
1255,1256,6822000,8509000
1263,1260,2444000,3759000
1263,1260,3819000,4497000
1261,1260,5349000,6233000
1269,1265,2386000,3143000
1272,1270,2303000,3258000
1279,1275,798000,1733000
1276,1275,6570000,7273000
1284,1280,1610000,2588000
1280,1281,4186000,4802000
1287,1285,860000,1816000
1285,1286,3233000,4389000
1286,1285,6023000,6641000
1293,1290,0,617000
1294,1290,1221000,2283000
1292,1290,3191000,4298000
1298,1295,1000,1180000
1297,1295,4684000,6348000
1300,1301,636000,1281000
1308,1305,3931000,4597000
1310,1311,759000,1633000
1313,1310,3548000,4224000
1312,1310,5733000,6807000
1318,1315,1614000,2260000
1316,1315,3035000,3858000
1315,1316,3972000,4666000
1322,1320,0,739000
1321,1320,2674000,3548000
1321,1320,7188000,8852000
1329,1325,1077000,2636000
1327,1325,3374000,4623000
1331,1330,3397000,5099000
